channelid,videocategoryid,channelviewcount,videocount,subscribercount
UCjTCFFq605uuq4YN4VmhkBA,28,238054810,2173,1147482
UCJKt_QVDyUbqdm3ag_py2eQ,10,4290457,1082,4705
UChbmp9N5NttZT3kGlYUzblQ,27,3361185,1271,14829
UCHRomEuH2hX2nutF7LLkXFg,27,21743,3,20
UCVVfWafbTKcHu0TyampWoJQ,2,46838318,526,48855
UCFmZ5fJJi8ndEcHUGUNyc6g,22,293646,96,94
UCbKUGwLwOzGif6tRjCC-8Cw,10,2144582,35,255
UCwyTDDqDcpKHTBiiw678oKw,20,28694,12,77
UCw4XhkrEdBM-1gL2Eo30-4Q,28,4418,2,1
UC60WHcq3PJBYsytHGPgPoxg,17,2250641,2154,2754
UC50kpGOODel6upboeRr29Wg,10,53562,18,276
UCGHxwSg7hpLtjSzLy8CZGOg,10,171494,64,122
UCb3Uqx1jNaj_BhFiOvWJVXg,1,1862735,163,436
UC4XzqIkOvIc88vqprybQoSQ,24,191371,47,57
UCsOUzkzIkNR7nb_q83wn7_Q,24,2375860,1213,1796
UC8lgcvysZVGxR8Da0RBRW9g,22,8823,89,2
UCMjUoV3dgJ9BEVw49MuCgLQ,26,131024,170,119
UCAonH6Byqym88fBgKTwFdtQ,23,2734,1,5
UCDo7-HLf6U7rvbngmAhNkoA,10,5130077,238,11902
UCLhXDyb3XMgB4nW1pI3Q6-w,28,113871511,3316,325632
UCA6RuM6RKDlMfOkmNVya_8A,20,3520813,910,2786
UCXUeZbRVLXITr1ybgSJyasw,27,6486684,1790,3334
UCqjtD7Ec9tSThagnyhLBsQA,10,74201842,218,64933
UCG_j6ftxQjdaA77tmRmAeBw,24,12099,42,8
UC0d5D3-XIYIxbfwm6o8638Q,20,6173968,527,13657
UCdar0wP4Q40B6K--L9rRZNg,10,171874,51,75
UC6HkVP_xUtr1wIUe4nQPo_A,27,1085946,59,8739
UCEqCrD1a8MhZwjTFm7vn1FQ,28,3927,2,4
UCFlWwpSC9IJ8ytkEqTtmu1A,22,273717,133,1942
UCd0svlreYx8t1jQdTK7PfsA,22,5406255,999,22815
UC6qvx3UxVIt1KirvVTSg99A,2,130886,63,20
UCa8HrpaNOSoIUrPuqec2jGg,10,14622498,44,9300
UCQ6UXrtnCIuIisdZldq8npw,20,90233939,7204,154025
UCto35bnvPm_V7iiIvmaqC1A,10,7425260,1013,17985
UCJVGQvLy0-hyEHYrhhBB5QQ,10,10307,1,138
UC9O5nvfr1ACJf3lRYegFxhA,10,495299,256,82
UCcsgb07FIBVGJDNMoLEZ2dA,20,4386439,142,2087
UC7w_1PpN4cUrveTEnPR_ruA,24,646331,90,396
UCBmI_zgn4U9ZXYEqk9DXI8g,10,13579191,92,13326
UCzSi2vXuhv25VtPk4oT0O-g,24,7442502,408,4379
UCAxtVn4eS0WSE5jaKK6qlVA,10,577642191,14036,1281659
UCGBI5D5uMO2In5uMD6itvzQ,24,353822,11,75
UCTrH4s--dRVwV3MOgYkq2Lg,20,19705,3,56
UC8e_DJXzsNtHm7QV_BDNWQw,26,490885,363,0
UC2cU7THEKH-q5-hNMW2IAJw,17,8270,6,2
UCg2NfA0Whcx0rzjaN7f8ihQ,1,106365,25,164
UCchtGBIgja5RAmI3XPvV-xA,20,96074,279,32
UC0HAgvsLljXqzSWHWh0ePEQ,26,2700008,373,7494
UCqRb7uCyZwaK-dGWuE4-N9A,26,26171,46,374
UCSMK-_VJEhTG_jDhlK04VdQ,24,1593875,522,4645
UCErcXQgmjsow5UpLXT1zn9A,2,14851,28,4
UCJaXKxlkzx3DcgtniDCNQ5w,26,16577348,771,31295
UCfBLXTwLoUpDAkHcHizW3Jg,20,5985831,475,31740
UCGBc6qyVKxHYkhmjCl0N-hw,17,1287982,224,257
UC7Twvlx1B3dGuUcE3xed36A,2,2599609,263,3023
UCdt9STEaWQm8K2mBqUZ6fdg,22,29210,22,37
UCLYmWAFs8RacdGtVauakGWA,10,118840,25,50
UC-fxtRERUCXfRdJQArByuUw,2,3220,9,0
UCE5bqtxuCT2wHUNCH2KmJ8g,24,914914,28,67
UCiOxToRlpasZY480lsKVPaA,10,413259,285,2373
UCcxSNAgdGgEaJ2Mm_M3L8-g,22,174402,40,394
UCVoVN5IZfmOpm53LTWv_mEw,20,245124,19,247
UCJaKiPozicrSedDDqY93nxQ,24,10797,2,4
UC_0VY4M2TRjeqifpziwsOKg,20,12832,8,3
UCCECNSIYtwijzr43XNdfQlA,10,194817,30,546
UCE570Jqw0OEqtNY06QqlAOw,2,5778704,422,13452
UCfykEQGKbx5bDfU8DmrOE_Q,22,22423,14,17
UCpe2J0PdNmsqXokblCQWkVA,2,3114590,218,307
UCGZmkgX5xXZZboN0-ZRp3_A,20,1316978,427,6422
UCoNIsGJ2pBhDb6HdtzobUtg,17,8047548,7319,13152
UCWAWxTiKzFfA2yO7hjO6kXg,17,4936,1,1
UCFS2EPWhtlQg6d-r8Qq3wcw,24,15700725,3712,10941
UCGDpVWPZ-WGPntuWF1Kik7g,10,52902,13,10
UCWn-raTLcIF-YKOHfQLWjaw,10,5209045,178,2577
UCVA5wo4V5qO6PRGJuvMH2nw,10,81162,57,138
UCDS7re9AD8jTg-peowkU2ew,24,1287494,115,313
UCy--nD1pnUyWk8HDg9orNDw,10,3528386,320,2913
UCWkWxxfDu2IMYvpl0dCtc2A,10,3657643,9,1056
UCI7s-cS_zUSOZHLDcxI0I8Q,20,193612,129,127
UC_F8QHd5dfmWdCIW4cOmPSw,10,1803,1,4
UCRFBivFMyx3ogRK-n0eTIHg,22,112666,10,102
UCNegomi4-XAmUATq_EH14XQ,22,117531,55,302
UCCqv5X4gnuwuD83QpXWCwfA,2,24612,20,35
UCp-yWSkH2RfK5xm-Z3qo9yg,10,14675,17,10
UCQYYXFpo5jbWHNEk7xKdGYw,17,1105371,141,333
UCQlGBspQdj17WOPBQMT1k9A,24,3455085557,138634,3161701
UCyNOucLDZXhAx6ztScV7iFQ,1,189625,11,239
UChyM3jcR6gRgFpD5U1ZclHw,10,447457,103,0
UC2uZWCSw31y2gkYwpE109hw,1,17308,6,90
UCujVymNv8X9PY3HDB_5sBAw,24,27337448,424,13041
UCEpyUocnghlUQKN33yFIfmg,20,10955475,1103,99495
UCiF0dg4CWC21EZK1PhmQmiw,17,44762,27,64
UCFgkqor41YbYZGQOXmhp7Jg,22,10582,2,1
UCYEdXCUKJOqlJA1GIPcRN9A,10,80994,27,396
UCHRD0xFQAvhI-5IZBEdYrDA,27,900043,500,1925
UCPaYlmMUjYRGrUJ8DwOaK5w,17,5088,15,11
UCMGY0ZWQmyqHzKZcJXaaxnA,22,1950609,2561,7655
UCch-SOIuhnwFBMmciaQWj3A,10,26201,55,44
UCh17-nOzhd1tE9bqztkCuqw,10,30508993,105,153611
UCHSsuyGJK9vQsBQJTvurDhQ,26,1126121,190,2898
UCTY4pLYBU6AcVSeCCuHmJaw,20,28373307,2456,12992
UCuNg_HbU7s_WtDWUsKk5Kdg,24,338390,58,342
UCp49CTyOuj5OUD2jRjZFe2Q,20,233902,23,263
UCGDJLLphnP0zQQaE3kgo5Wg,43,206495728,38749,218688
UCH-zUJlLeg5H6KYu0IZHBtg,17,8314,17,13
UCM4_7Tc_mlsnc5iSuG5qB6w,10,47086860,1346,58561
UC0ljjis1QzFoKBxA9O4gQ2w,10,26109,12,13
UCIfAxaxkWgIiJTkBpePGZHQ,10,2356476,714,2744
UCeFVkJQhBIQW3ONm28h2OAQ,24,164515,17,152
UC79wJrCqxStX4wBYbXN49dw,17,171959,16,107
UCed30r-gRqG4tcLPs3CrWqQ,20,30824,264,319
UC3XAKdJHovW-QOEaY0Z5QzA,22,55258,6,153
UCupCNl_codsqX8G_jPEF9xQ,2,5126,5,1
UC-IfVWMwXH7UazB4PrE_Vyw,26,4080545,144,20717
UCAqisf-D6i0IvYr6m0_-xpg,10,9641,58,10
UCf3ApfNSqikIlGD2KxnbUUw,10,248294,28,564
UCzoI6lBLD63DtM1eukZn2Wg,20,1246,1,3
UCB0wpYIScTBRoe9My5g9iGA,26,2176066,143,22886
UCsR9VKs7WUawo8TAEGthb2Q,24,23143911,395,19217
UCC_uUzH7EhOHjm9nQDfGwag,1,192785,14,136
UCqBjfnrystNidAdNNGVgSow,28,142344,6,0
UClhEIA4NgUey4ty9h8AllHw,23,303795796,196,788371
UCZcCmWhvK0gfThyWRmRerDQ,25,1112572799,27045,785436
UCvzABOeXdl7zdy2Lb7URdUw,1,1048339,51,590
UCI3l_VapjxYpwmQmv3cojUA,10,846227,4,2122
UCxpCwbq-nIMDKj5RfL_6llw,10,1442317,23,4786
UC32IFxNwIJFkC-nyHDtQ9yg,20,109050,26,17
UCNfNC94p_0m302SkH8KFmFw,20,6727760,83,56152
UCIbuh_hZh6hqPbknWDF1ESA,20,21877,5,2
UCbTLwN10NoCU4WDzLf1JMOA,10,4061294006,3576,5676945
UC0qu9kIJ0C22EzcVOZHsL6A,10,6334879,42,2718
UCaBoHaHkl26DeN_ahaHNaEA,20,48570,53,69
UCwvxISJ5KLig-lKgl21YJhA,24,351442,65,1767
UCgc4WcUwasw1WJ8qPmgfKSQ,24,2414374,91,1684
UCDcDw3eCZvwNQdLfSUzhkTg,17,8092942,2716,16046
UCSvyi6Z6QI1uGsOBahqhlCg,17,589988,498,2947
UCEg0AqZPRi_mDEFFPZP58SA,2,23519082,1000,8219
UCAQzr076v_RxV3Z6NC5kjHQ,20,114284,62,494
UCVa_pizLo_pRoKcXXiADNDQ,22,23359,23,15
UC3YoSom6K2d55rhAC1us-fw,22,109978,136,104
UCJhRcJw8q3ijByEVqj4-s0w,20,510010,1266,1838
UCysdrbENErWAI4Z9L2Zv5eA,1,351723048,88,160722
UCoZ8DmwTsiQRquL1Bg_fdfQ,20,2532028,807,12172
UCc7Tj3G1u2r0o1qQXly8bzw,20,90281,150,7
UCUprybWEqWn74kcc9KircGA,17,6063,3,3
UCt8CdzMEoTie3iix3KmvV7A,20,782849247,1853,2455655
UCxQNoLm8uv_XNWk0XiQ5EHQ,1,47738,38,25
UCPo-HlgBo8lxdPWCF62E-2A,22,5562780,701,38813
UCp9y2SHuFrkuMbdiaWgyw4g,28,178763,150,75
UCIyN1hVAIWKJuao3JcZ6HUw,22,37794,4,12
UCBV7B3ZOjXsqtj73CDeItHg,20,301736,159,4572
UCRT3L0I7rO72nMQkqQoXP1g,2,7228434,1374,9335
UC_aYoCs8w45wFS8pP1CVshw,28,11247,2,23
UCCtl6sSl82MC__WcX87iafw,2,77567,26,28
UC8WKMRIdDx0oG5bOkG4smgQ,19,16475114,1651,10232
UCIL-JFLvovsFao3vrsXGzag,20,100306634,1945,332364
UCoIGPxfGxT8Sbdjlhnf9GRw,24,6665,16,2
UC563EZ1SLzgfDIHLRmzIPRQ,2,71362,56,46
UCVawWVTagFACtQM-Bz9oZLg,27,2096090,229,2032
UCiH9RaD34m5GsisAVde2bbg,19,1262740,306,1053
UCnpFV9Jn21yCbZAOpVKGL4A,10,467855,72,1437
UCmeL8GwfOyH6Pt0K9lWCwww,24,130289,7,20
UCtAebVfbry-Ce4oXqkcBJJw,26,30682,25,100
UCbcPIsA5txPImroBVaJiRaw,22,1600742,712,5433
UCoabqfMFYggLI6q_iJh8-jw,1,54491,126,113
UCHXbZQUE49YwHbAJc9Z6wZg,2,80221,102,32
UCWMTR20z_v1zk9V4EJZAEmw,20,40969591,386,333448
UCMIebNc34EmVsbAYOY_vDNA,24,5175,3,1
UCV4_mYEdMcv1YeqZMMiBbsA,27,1171094,152,3774
UCH2X_ZuR8FZalU4xu8hNpow,24,31393998,424,8707
UCuZIrql4x_Jr6aXKRoAOrFw,22,3979708,1101,2176
UC0EKpxlBw6aM6MADzbxfcuQ,17,4926253,140,9429
UCAo76BuzZtVKnY45lF2s8og,22,21841,44,16
UCd4-8S_rZ_M2UxI96pbypLw,1,618029,28,1483
UC2DP749XX4HuBlJufmKsRdA,10,23265,20,76
UCue5UlXITzJz2eopYE_yedQ,2,13873,15,2
UCzoOfm1AILwHCgv2Dc3mdvg,22,43213,4,50
UCOjF7GPRHEGA5f3074L_Tkw,24,3426,8,7
UCBtB6ULonhMb9jXE72CNz-Q,24,22471339,75,8605
UC2l2CRfsl73FV5EETuNcNhg,10,23572,81,10
UCjaSeKdnPGviZREF6EcnJcw,24,390440,35,2155
UCD-9G8Ryrq9o7M3fEWk5rsA,22,2521,1,8
UCXbBAdHOCyfUd6ruv_RUOPQ,20,86773,198,126
UCKm_mjfGRx0kCT7QKNiuylw,20,5839602,165,20825
